source,target
GemmaLarruy,AnnaSimonMari
GemmaLarruy,ristomejide
GemmaLarruy,mundodeportivo
GemmaLarruy,APMTV3
GemmaLarruy,andresiniesta8
GemmaLarruy,cesc4official
GemmaLarruy,3gerardpique
GemmaLarruy,Carles5puyol
MartaDui,CarlesVidal
jordifinestres,CarlesVidal
polcorominas,CarlesVidal
Esquerra_ERC,CarlesVidal
gcapdevila,CarlesVidal
assemblea,CarlesVidal
encatala,CarlesVidal
omnium,CarlesVidal
perezesquerdo,CarlesVidal
APMTV3,CarlesVidal
vpartal,CarlesVidal
CarlesVidal,jofrellombart
CarlesVidal,saulgordillo
CarlesVidal,BibianaBallbe
CarlesVidal,Mascherano
CarlesVidal,KRLS
CarlesVidal,mkserra
CarlesVidal,mariusserra
CarlesVidal,Mas_Enfurecido
CarlesVidal,EnricJuliana
CarlesVidal,ceskfreixas
CarlesVidal,antoniobanos_
CarlesVidal,txearana
CarlesVidal,AlfredBosch
CarlesVidal,MartaDui
CarlesVidal,Iaia_Toneta
CarlesVidal,lizcastro
CarlesVidal,JuntsPelSi
CarlesVidal,raulromeva
CarlesVidal,jordifinestres
CarlesVidal,polcorominas
CarlesVidal,emparmoliner
CarlesVidal,DaniAlvesD2
CarlesVidal,RTorquemada
CarlesVidal,MainatJM
CarlesVidal,encampanya
CarlesVidal,jordibaste
CarlesVidal,cupnacional
CarlesVidal,BBCBreaking
CarlesVidal,gebelque
CarlesVidal,martarovira
CarlesVidal,lluis_llach
CarlesVidal,HiginiaRoig
CarlesVidal,LuisSuarez9
CarlesVidal,LUISENRIQUE21
CarlesVidal,Esquerra_ERC
CarlesVidal,ModernetdeMerda
CarlesVidal,bruno_oro
CarlesVidal,gcapdevila
CarlesVidal,ForcadellCarme
CarlesVidal,assemblea
CarlesVidal,BernatDedeu
CarlesVidal,naciodigital
CarlesVidal,QuimMasferrer
CarlesVidal,junqueras
CarlesVidal,JordiGraupera
CarlesVidal,ferrantorrentll
CarlesVidal,JaumeBarbera
CarlesVidal,QuimMonzo
CarlesVidal,miquelcalcada
CarlesVidal,murielcasals
CarlesVidal,omnium
CarlesVidal,kilianj
CarlesVidal,homo_apm
CarlesVidal,XSalaimartin
CarlesVidal,soler_toni
CarlesVidal,paugasol
CarlesVidal,JoanLaportaFCB
CarlesVidal,salvadorcardus
CarlesVidal,queconovell
CarlesVidal,BarackObama
CarlesVidal,VilaWeb
CarlesVidal,APMTV3
CarlesVidal,perezesquerdo
CarlesVidal,Quimkong
CarlesVidal,jordievole
CarlesVidal,maldiniplus
CarlesVidal,antonibassas
CarlesVidal,jordicosta1
CarlesVidal,RogerSaperas
CarlesVidal,CarlesCapde
CarlesVidal,diariARA
CarlesVidal,xavierbosch
CarlesVidal,vpartal
CarlesVidal,toniclapes
CarlesVidal,Fotlipou
CarlesVidal,FCBarcelona_cat
CarlesVidal,Buenafuente
CarlesVidal,3gerardpique
CarlesVidal,monicaplanas
CarlesVidal,Carles5puyol
CarlesVidal,andresiniesta8
AlfredBosch,daddordaddor
Esquerra_ERC,daddordaddor
daddordaddor,HiginiaRoig
daddordaddor,saulgordillo
daddordaddor,XSalaimartin
daddordaddor,BernatDedeu
daddordaddor,naciodigital
daddordaddor,xavierbosch
daddordaddor,JaumeBarbera
daddordaddor,mariusserra
daddordaddor,QuimMonzo
daddordaddor,TianRiba
daddordaddor,salvadorcardus
daddordaddor,jofrellombart
daddordaddor,ARApolitica
daddordaddor,ariadnaoltra
daddordaddor,junqueras
daddordaddor,ramontremosa
daddordaddor,ForcadellCarme
daddordaddor,AlfredBosch
daddordaddor,murielcasals
daddordaddor,omnium
daddordaddor,assemblea
daddordaddor,JoanTarda
daddordaddor,martarovira
daddordaddor,Esquerra_ERC
daddordaddor,324cat
daddordaddor,CarlesCapde
daddordaddor,miquelcalcada
daddordaddor,raulromeva
daddordaddor,Toni_Cruanyes
daddordaddor,esport3
daddordaddor,vpartal
daddordaddor,30minuts
daddordaddor,diariARA
daddordaddor,el_pais
daddordaddor,antonibassas
daddordaddor,maticatradio
IlianaCapllonch,instagram
IlianaCapllonch,Berto_Romero
IlianaCapllonch,jordievole
IlianaCapllonch,_anapastor_
IlianaCapllonch,Buenafuente
IlianaCapllonch,epunset
_NitReolid,auronplay
JamieBetts_PT,angelagarcia92
AbiertaMente,angelagarcia92
angelagarcia92,BBCBreaking
angelagarcia92,SonMicroCuentos
angelagarcia92,aprendeingIes
angelagarcia92,XabiAlonso
angelagarcia92,instagram
angelagarcia92,MejoresTwits
angelagarcia92,AbiertaMente
angelagarcia92,hdnegro
angelagarcia92,DANIROVIRA
angelagarcia92,RafaelNadal
angelagarcia92,paugasol
angelagarcia92,el_pais
angelagarcia92,Cristiano
angelagarcia92,shakira
angelagarcia92,SSantiagosegura
angelagarcia92,ristomejide
angelagarcia92,danimartinezweb
angelagarcia92,Buenafuente
angelagarcia92,AnnaSimonMari
angelagarcia92,3gerardpique
angelagarcia92,perezreverte
angelagarcia92,Carles5puyol
angelagarcia92,muyinteresante
frasesambanima,Kli_fes
Kli_fes,DANIROVIRA
Kli_fes,YouTube
Kli_fes,policia
Kli_fes,txarango
Kli_fes,SonMicroCuentos
Kli_fes,frasesambanima
Kli_fes,danimartinezweb
Kli_fes,AnnaSimonMari
Kli_fes,SSantiagosegura
Kli_fes,Cristiano
Kli_fes,shakira
Kli_fes,MejoresTwits
Kli_fes,Carles5puyol
Kli_fes,3gerardpique
Kli_fes,ristomejide
Kli_fes,RafaelNadal
Kli_fes,_MaluOficial_
Kli_fes,SergioRamos
Kli_fes,XabiAlonso
Kli_fes,instagram
mkserra,LauraaLlop
KAHALABarcelona,LauraaLlop
eixugatitornemh,LauraaLlop
DANIELdoiser,LauraaLlop
OSValles,LauraaLlop
PereMercader,LauraaLlop
rauxacatalana,LauraaLlop
LauraaLlop,AdaColau
LauraaLlop,KRLS
LauraaLlop,miquelcalcada
LauraaLlop,gabrielrufian
LauraaLlop,HiginiaRoig
LauraaLlop,VilaWeb
LauraaLlop,lluis_llach
LauraaLlop,murielcasals
LauraaLlop,JuntsPelSi
LauraaLlop,raulromeva
LauraaLlop,polcorominas
LauraaLlop,eixugatitornemh
LauraaLlop,amicsdelesarts
LauraaLlop,ceskfreixas
LauraaLlop,elscatarres
LauraaLlop,DANIELdoiser
LauraaLlop,PereMercader
LauraaLlop,nytimes
LauraaLlop,_anapastor_
LauraaLlop,barcelona_cat
LauraaLlop,Esquerra_ERC
LauraaLlop,OSValles
LauraaLlop,maticatradio
LauraaLlop,ramontremosa
LauraaLlop,bruno_oro
LauraaLlop,GrupManel
LauraaLlop,parlament_cat
LauraaLlop,joandausa
LauraaLlop,BarackObama
LauraaLlop,BBCBreaking
LauraaLlop,Araeslhora
LauraaLlop,omnium
LauraaLlop,govern
LauraaLlop,TimeOutBCN
LauraaLlop,QuimMasferrer
LauraaLlop,CanetRock
LauraaLlop,ForcadellCarme
LauraaLlop,philmusical
LauraaLlop,rauxacatalana
LauraaLlop,maiolsanauja
LauraaLlop,junqueras
LauraaLlop,gencat
LauraaLlop,EstrellaDammCat
LauraaLlop,diariARA
LauraaLlop,tv3cat
LauraaLlop,antonibassas
LauraaLlop,shakira
LauraaLlop,APMTV3
LauraaLlop,lacompetencia
LauraaLlop,txarango
LauraaLlop,30minuts
LauraaLlop,assemblea
LauraaLlop,naciodigital
LauraaLlop,3gerardpique
LauraaLlop,toniclapes
LauraaLlop,epunset
LauraaLlop,324cat
LauraaLlop,kilianj
LauraaLlop,monicaplanas
LauraaLlop,XSalaimartin
LauraaLlop,elmonarac1
LauraaLlop,ARApolitica
LauraaLlop,rac1
LauraaLlop,jordibaste
andrewfunkspain,MedusaCultura
DANIELdoiser,MedusaCultura
maiolsanauja,MedusaCultura
vpartal,MedusaCultura
apuntem,MedusaCultura
nuvol_com,MedusaCultura
joandausa,MedusaCultura
laculturanoval,MedusaCultura
RogerPala,MedusaCultura
gencat,MedusaCultura
MedusaCultura,natzafarre
MedusaCultura,andrewfunkspain
MedusaCultura,DANIELdoiser
MedusaCultura,antoniobanos_
MedusaCultura,gabrielrufian
MedusaCultura,soler_toni
MedusaCultura,maiolsanauja
MedusaCultura,QuimMonzo
MedusaCultura,NachoSanahuja
MedusaCultura,lluis_llach
MedusaCultura,ristomejide
MedusaCultura,rbesac
MedusaCultura,sumate_asoc
MedusaCultura,apuntem
MedusaCultura,nuvol_com
MedusaCultura,BernatDedeu
MedusaCultura,EstrellaDammCat
MedusaCultura,DaniMateoAgain
MedusaCultura,elmonarac1
MedusaCultura,joandausa
MedusaCultura,JordiGraupera
MedusaCultura,txearana
MedusaCultura,jordievole
MedusaCultura,salvadostv
MedusaCultura,miquelcalcada
MedusaCultura,ModernetdeMerda
MedusaCultura,emparmoliner
MedusaCultura,RTorquemada
MedusaCultura,TimeOutBCN
MedusaCultura,instagram
MedusaCultura,perezreverte
MedusaCultura,XSalaimartin
MedusaCultura,Catala_Correcte
MedusaCultura,HiginiaRoig
MedusaCultura,elscatarres
MedusaCultura,BibianaBallbe
MedusaCultura,salvadorcardus
MedusaCultura,amicsdelesarts
MedusaCultura,GrupManel
MedusaCultura,VilaWeb
MedusaCultura,Buenafuente
MedusaCultura,antonibassas
MedusaCultura,philmusical
MedusaCultura,laculturanoval
MedusaCultura,epunset
MedusaCultura,RogerPala
MedusaCultura,enderrock
MedusaCultura,gencat
MedusaCultura,mariusserra
Iaia_Toneta,albert_sanju
maiolsanauja,albert_sanju
eixugatitornemh,albert_sanju
PereMercader,albert_sanju
rauxacatalana,albert_sanju
Esquerra_ERC,albert_sanju
losbarrankillos,albert_sanju
joandausa,albert_sanju
apuntem,albert_sanju
sport,albert_sanju
albert_sanju,KRLS
albert_sanju,30minuts
albert_sanju,MeteoMauri
albert_sanju,tv3cat
albert_sanju,JuntsPelSi
albert_sanju,raulromeva
albert_sanju,LuisSuarez9
albert_sanju,maiolsanauja
albert_sanju,eixugatitornemh
albert_sanju,PereMercader
albert_sanju,Toni_Cruanyes
albert_sanju,LUISENRIQUE21
albert_sanju,policia
albert_sanju,Esquerra_ERC
albert_sanju,JoanTarda
albert_sanju,AlfredBosch
albert_sanju,martarovira
albert_sanju,Iaia_Toneta
albert_sanju,ariadnaoltra
albert_sanju,BarackObama
albert_sanju,HiginiaRoig
albert_sanju,naciodigital
albert_sanju,QuimMasferrer
albert_sanju,assemblea
albert_sanju,ModernetdeMerda
albert_sanju,elmonarac1
albert_sanju,losbarrankillos
albert_sanju,As_TomasRoncero
albert_sanju,joandausa
albert_sanju,elscatarres
albert_sanju,APMTV3
albert_sanju,junqueras
albert_sanju,queconovell
albert_sanju,txarango
albert_sanju,_Pedro17_
albert_sanju,FCBarcelona
albert_sanju,RogerMasOficial
albert_sanju,Mascherano
albert_sanju,apuntem
albert_sanju,instagram
albert_sanju,Catala_Correcte
albert_sanju,soler_toni
albert_sanju,jordievole
albert_sanju,diariARA
albert_sanju,jordibaste
albert_sanju,QuimMonzo
albert_sanju,1victorvaldes
albert_sanju,Guaje7Villa
albert_sanju,lacompetencia
albert_sanju,andresiniesta8
albert_sanju,DaniAlvesD2
