group,id
2,BLMaps
2,UoBLinguist_Mag
2,CSIC
2,ItchyFeetComic
2,StagecoachSW
2,GIRACKENDJI
2,redperiodistasM
2,culturecheese
2,GalegoBham
2,RadioExeNews
2,MariaOD
2,UNESCO
2,LanguagesABC
2,CMcTranslator
2,PaulKayeEUlangs
2,AstroSamantha
2,theRSAorg
2,TeacherToolkit
2,ExeterXmasMarke
2,ceisantboi
2,FrancescSeres
2,LopezJaume
2,A_RoyoMarine
2,ASCD
2,ba_bnt
2,elelabUSAL
2,i_lernin
2,Na_carrera
2,LanguageRich
2,Hispabooks
2,forges
2,recursosele
2,recursosdele
2,Rutaele
2,todoele
2,profedeele
2,ASELE_ELE
2,Blog_DeELE
2,SEDLL
2,SebastianParera
2,UoE_Jobs
2,LetraductUK
2,SarahNazH
2,ClipFlair
2,NewEuropeans
2,clpe1
2,slowBCN
2,AdoptaSantBoi
2,elpais_cultura
2,Fornexeter
2,nyrbclassics
2,nybooks
2,reduccions
2,poesiabarcelona
2,LaPoeteca
2,UofE_SID
2,HumanAtStanford
2,ElcracTV3
2,CamperCoffeeCo
2,MuseusDeSitges
2,vinyetp
2,SharphamWines
2,KatieBrown161
2,seebook_
2,ExeHispanicSoc
2,IbanLLlop
2,martabausells
2,OULanguages
2,slowfooduk
2,maryquicke
2,innovexeter
2,UCL_EI
2,EsbrinaRecerca
2,TheMamzelles
2,PDUrope
2,quimarrufat
2,10000KmFilm
2,ariadnaoltra
2,Lunya
2,thebestofExeter
2,EVAWuk
2,GoodLadWorkshop
2,SonoraELE
2,ExeterUniUWC
2,_ESFF
2,EUSmartCities
2,sgel_ele
2,RSF_ES
2,twibbon
2,History_Bham
2,DiariEducacio
2,gentdesantboi
2,sergivicente
2,_anapastor_
2,LluisaMoretSabi
2,JordinaBiosca
2,NataliaRosetti
2,gcalvetbarot
2,MuseuNac_Cat
2,EmWatson
2,HeforShe
2,BBCRadio4
2,ExeterSGU
2,LinkedinCatalan
2,YesScotland
2,fbpublishers
2,isaacxubin
2,PFeminismos
2,UCC_SPLAS
2,Caracter33
2,LLASCentre
2,PullMyStrings_
2,lafesta_cat
2,FestivalAltaveu
2,KatharinaBberg
2,joanroviramusic
2,MireiaMena
2,BelZaballa
2,DKlaix
2,roccasagran
2,MarcalFont
2,itramselas
2,joseppedrals
2,harrybakerpoet
2,lendema_lapeli
2,maclehosepress
2,FWSAuk
2,GerardMartret
2,Araeslhora
2,GodallEdicions
2,MarRocabert
2,llegiresbonpla
2,Alex_Susanna
2,DrSKBarker
2,rte_france
2,nationalgridus
2,EverydaySexism
2,UNUniversity
2,CIDUI_congress
2,ImpactUN
2,vadepares
2,Artstor
